estimation_timestamp,bead_code,bead_title,confidence_percent,evaluation_timestamp,completed_in_one_turn
2026-02-21T20:39:13Z,dadeto-rps8,Fix csvToJsonArray.js findLastIndex compatibility,85,2026-02-21T20:44:21Z,true
2026-02-21T20:45:32Z,dadeto-se2c,Tsdoc: finish toy helper typing (6 remaining code fixes),73,2026-02-21T20:51:45Z,true
2026-02-21T20:52:15Z,dadeto-4srf,Achieve zero TypeScript/JSDoc errors,35,2026-02-21T21:18:45Z,true
2026-02-21T21:16:08Z,dadeto-y54.1,Inventory Sonar curl commands for embedded creds,75,2026-02-21T21:16:43Z,true
2026-02-21T21:35:42Z,dadeto-ohog,Reduce jscpd clones to zero,60,2026-02-21T22:43:00Z,false
2026-02-22T07:30:04Z,matt-elh,Consolidate rows and rowTypes into rowData parameter object,72,2026-02-22T07:39:52Z,true
2026-02-22T08:12:21Z,matt-1qi,Update ensureKeyValueInput for rowTypes,85,2026-02-22T08:19:55Z,true
2026-02-23T08:28:58Z,matt-ikq,Add Auto submit checkbox to toy submit buttons,75,,
2026-02-23T08:41:46Z,matt-ikq,Add Auto submit checkbox to toy submit buttons,80,,
2026-02-23T08:43:10Z,dadeto-pcai,Add Auto submit checkbox to toy submit buttons (P2 feature),80,2026-02-23T08:51:42Z,true
2026-02-23T09:01:06Z,matt-3vk,Restore test branch coverage to 100%,70,,
2026-02-23T09:10:34Z,matt-21j,Fix failing process-new-page-core.test.js expectations,80,2026-02-23T09:23:18Z,true
2026-02-23T09:42:47Z,matt-e1t,Achieve 100% branch coverage,80,,
2026-02-23T10:47:42Z,matt-e1t,Achieve 100% branch coverage,80,,
2026-02-23T19:41:49Z,matt-e1t,Achieve 100% branch coverage,78,2026-02-23T19:53:00Z,false
2026-02-23T23:30:00Z,matt-e1t,Achieve 100% branch coverage (continued session),85,2026-02-23T23:45:00Z,true
2026-02-23T23:50:00Z,dadeto-c8r1,Eliminate all ESLint complexity warnings,82,,
2026-02-23T23:50:00Z,dadeto-c8r1,Eliminate all ESLint complexity warnings,82,2026-02-24T00:45:00Z,true
2026-02-25T19:06:33Z,dadeto-ipfv,Reduce ESLint warnings from 31 to 20 (batch 1),88,2026-02-25T19:09:14Z,true
2026-02-25T19:23:42Z,dadeto-06u,Improve coverage for core/cloud/assign-moderation-job/assign-moderation-job-core.js,98,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-2kr,Improve coverage for core/browser/toys/browserToysCore.js,98,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-3w6,Improve coverage for core/browser/presenters/ticTacToeBoard.js,97,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-7ot,Improve coverage for core/browser/presenters/battleshipSolitaireClues.js,97,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-9jw,Improve coverage for core/browser/toys/2025-11-01/textAppendList.js,98,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-e3h,Improve coverage for core/browser/toys/2025-03-21/italics.js,98,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-kl7,Improve coverage for core/browser/toys/2025-03-29/fishingGame.js,95,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-q8d,Improve coverage for core/browser/toys/2025-03-29/get.js,98,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-7wf,Improve coverage for core/browser/admin/token-action.js,80,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-13x,Improve coverage for core/browser/toys/2025-11-15/dijkstra.js,75,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-2pn,Improve coverage for core/browser/toys/2025-11-15/index.js,75,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-3xh,Improve coverage for core/browser/toys/2025-11-15/edgeWeight.js,75,2026-02-25T19:23:42Z,true
2026-02-25T19:23:42Z,dadeto-etq,Improve coverage for core/browser/toys/2025-11-15/calculateVisibility.js,75,2026-02-25T19:23:42Z,true
2026-02-25T19:24:50Z,dadeto-0w2,Improve coverage for core/browser/inputHandlers/dendritePage.js,70,2026-02-25T19:24:50Z,true
2026-02-25T19:24:50Z,dadeto-93l,Improve coverage for core/browser/inputHandlers/dendriteStory.js,65,2026-02-25T19:24:50Z,true
2026-02-25T19:24:50Z,dadeto-5rc,Improve coverage for core/browser/admin/core.js,80,2026-02-25T19:24:50Z,true
